GPT Table:
-------------
boot_para: Offset 0x0000000000008000, Length 0x0000000000100000, Flags 0x00000000, UUID f57ad330-39c2-4488-b09b-00cb43c9ccd4, Type EFI_BASIC_DATA
recovery: Offset 0x0000000000108000, Length 0x0000000001800000, Flags 0x00000000, UUID fe686d97-3544-4a41-21be-167e25b61b6f, Type EFI_BASIC_DATA
para: Offset 0x0000000001908000, Length 0x0000000000080000, Flags 0x00000000, UUID 1cb143a8-b1a8-4b57-51b2-945c5119e8fe, Type EFI_BASIC_DATA
expdb: Offset 0x0000000001988000, Length 0x0000000001400000, Flags 0x00000000, UUID 3b9e343b-cdc8-4d7f-a69f-b6812e50ab62, Type EFI_BASIC_DATA
frp: Offset 0x0000000002d88000, Length 0x0000000000100000, Flags 0x00000000, UUID 5f6a2c79-6617-4b85-02ac-c2975a14d2d7, Type EFI_BASIC_DATA
vbmeta: Offset 0x0000000002e88000, Length 0x0000000000800000, Flags 0x00000000, UUID 4ae2050b-5db5-4ff7-d3aa-5730534be63d, Type EFI_BASIC_DATA
vbmeta_system: Offset 0x0000000003688000, Length 0x0000000000800000, Flags 0x00000000, UUID 1f9b0939-e16b-4bc9-bca5-dc2ee969d801, Type EFI_BASIC_DATA
vbmeta_vendor: Offset 0x0000000003e88000, Length 0x0000000000800000, Flags 0x00000000, UUID d722c721-0dee-4cb8-838a-2c63cd1393c7, Type EFI_BASIC_DATA
nvcfg: Offset 0x0000000004688000, Length 0x0000000000800000, Flags 0x00000000, UUID e02179a8-ceb5-48a9-3188-4f1c9c5a8695, Type EFI_BASIC_DATA
nvdata: Offset 0x0000000004e88000, Length 0x0000000002000000, Flags 0x00000000, UUID 84b09a81-fad2-41ac-0e89-407c24975e74, Type EFI_BASIC_DATA
md_udc: Offset 0x0000000006e88000, Length 0x000000000169a000, Flags 0x00000000, UUID e8f0a5ef-8d1b-42ea-2a9c-835cd77de363, Type EFI_BASIC_DATA
metadata: Offset 0x0000000008522000, Length 0x0000000002000000, Flags 0x00000000, UUID d5f0e175-a6e1-4db7-c094-f82ad032950b, Type EFI_BASIC_DATA
protect1: Offset 0x000000000a522000, Length 0x0000000000800000, Flags 0x00000000, UUID 1d9056e1-e139-4fca-0b8c-b75fd74d81c6, Type EFI_BASIC_DATA
protect2: Offset 0x000000000ad22000, Length 0x0000000000ade000, Flags 0x00000000, UUID 7792210b-b6a8-45d5-91ad-3361ed14c608, Type EFI_BASIC_DATA
seccfg: Offset 0x000000000b800000, Length 0x0000000000800000, Flags 0x00000000, UUID 138a6db9-1032-451d-e991-0fa38ff94fbb, Type EFI_BASIC_DATA
persist: Offset 0x000000000c000000, Length 0x0000000003000000, Flags 0x00000000, UUID 756d934c-50e3-4c91-46af-02d824169ca7, Type EFI_BASIC_DATA
sec1: Offset 0x000000000f000000, Length 0x0000000000200000, Flags 0x00000000, UUID a3f3c267-5521-42dd-24a7-3bdec20c7c6f, Type EFI_BASIC_DATA
proinfo: Offset 0x000000000f200000, Length 0x0000000000300000, Flags 0x00000000, UUID 8c68cd2a-ccc9-4c5d-578b-34ae9b2dd481, Type EFI_BASIC_DATA
md1img: Offset 0x000000000f500000, Length 0x0000000004000000, Flags 0x00000000, UUID 6a5cebf8-54a7-4b89-1d8d-c5eb140b095b, Type EFI_BASIC_DATA
md1dsp: Offset 0x0000000013500000, Length 0x0000000001000000, Flags 0x00000000, UUID a0d65bf8-e8de-4107-3494-1d318c843d37, Type EFI_BASIC_DATA
spmfw: Offset 0x0000000014500000, Length 0x0000000000100000, Flags 0x00000000, UUID 46f0c0bb-f227-4eb6-2fb8-66408e13e36d, Type EFI_BASIC_DATA
mcupmfw: Offset 0x0000000014600000, Length 0x0000000000100000, Flags 0x00000000, UUID fbc2c131-6392-4217-1eb5-548a6edb03d0, Type EFI_BASIC_DATA
gz1: Offset 0x0000000014700000, Length 0x0000000001000000, Flags 0x00000000, UUID e195a981-e285-4734-2580-ec323e9589d9, Type EFI_BASIC_DATA
gz2: Offset 0x0000000015700000, Length 0x0000000001000000, Flags 0x00000000, UUID e29052f8-5d3a-4e97-b5ad-5f312ce6610a, Type EFI_BASIC_DATA
nvram: Offset 0x0000000016700000, Length 0x0000000000500000, Flags 0x00000000, UUID 9c3cabd7-a35d-4b45-578c-b80775426b35, Type EFI_BASIC_DATA
lk: Offset 0x0000000016c00000, Length 0x0000000000100000, Flags 0x00000004, UUID e7099731-95a6-45a6-e5a1-1b6aba032cf1, Type EFI_BASIC_DATA
lk2: Offset 0x0000000016d00000, Length 0x0000000000100000, Flags 0x00000000, UUID 8273e1ab-846f-4468-99b9-ee2ea8e50a16, Type EFI_BASIC_DATA
loader_ext1: Offset 0x0000000016e00000, Length 0x0000000000010000, Flags 0x00000004, UUID d26472f1-9ebc-421d-14ba-311296457c90, Type EFI_BASIC_DATA
loader_ext2: Offset 0x0000000016e10000, Length 0x0000000000010000, Flags 0x00000000, UUID b72ccbe9-2055-46f4-67a1-4a069c201738, Type EFI_BASIC_DATA
boot: Offset 0x0000000016e20000, Length 0x0000000001800000, Flags 0x00000000, UUID 9c1520f3-c2c5-4b89-4282-fe4c61208a9e, Type EFI_BASIC_DATA
logo: Offset 0x0000000018620000, Length 0x0000000000800000, Flags 0x00000000, UUID 902d5f3f-434a-4de7-8889-321e88c9b8aa, Type EFI_BASIC_DATA
dtbo: Offset 0x0000000018e20000, Length 0x0000000000800000, Flags 0x00000000, UUID bece74c8-d8e2-4863-fe9b-5b0b66bb920f, Type EFI_BASIC_DATA
tee1: Offset 0x0000000019620000, Length 0x0000000000500000, Flags 0x00000004, UUID ff1342cf-b7be-44d5-5ea2-a435addd2702, Type EFI_BASIC_DATA
tee2: Offset 0x0000000019b20000, Length 0x0000000000ce0000, Flags 0x00000000, UUID a4da8f1b-fe07-433b-cb95-84a5f23e477b, Type EFI_BASIC_DATA
super: Offset 0x000000001a800000, Length 0x0000000070000000, Flags 0x00000000, UUID c2635e15-61aa-454e-409c-ebe1bdf19b9b, Type EFI_BASIC_DATA
cache: Offset 0x000000008a800000, Length 0x0000000007000000, Flags 0x00000000, UUID 4d2d1290-36a3-4f5d-b4af-319f8ab6dcd8, Type EFI_BASIC_DATA
userdata: Offset 0x0000000091800000, Length 0x00000003115fbe00, Flags 0x00000000, UUID fdce12f0-a7eb-40f7-5083-960972e6cb57, Type EFI_BASIC_DATA
flashinfo: Offset 0x00000003a2dfbe00, Length 0x0000000001000000, Flags 0x00000000, UUID 0fbbafa2-4aa9-4490-8389-5329328505fd, Type EFI_BASIC_DATA

Total disk size:0x00000003a3e00000, sectors:0x0000000001d1f000

